url,state,city,years,manufacturer,model,price,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,vehicle_type,paint_color,image_url
https://losangeles.craigslist.org/wst/ctd/d/irvine-2014-toyota-prius-plug-in/7234556059.html,ca,los angeles,2014,toyota,prius,7997,good,4 cylinders,hybrid,166702,clean,automatic,,fwd,compact,hatchback,white,https://images.craigslist.org/00303_eLEvZ00xslc_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/lac/ctd/d/downey-2008-jeep-grand-cherokee-overland/7234555629.html,ca,los angeles,2008,jeep,grand cherokee overland,9989,,,gas,,clean,automatic,,4wd,,SUV,silver,https://images.craigslist.org/00F0F_DbDA8vPv7B_0cU09G_600x450.jpg
https://losangeles.craigslist.org/lac/cto/d/wilmington-lexus-is250-manual-6spd/7234555461.html,ca,los angeles,2007,lexus,is250,1900,,,gas,,salvage,manual,,,,,,https://images.craigslist.org/01212_c7cVglATSnc_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/lgb/ctd/d/irvine-2012-mini-cooper-countryman/7234555015.html,ca,los angeles,2012,mini,cooper countryman,7597,good,4 cylinders,gas,99000,clean,manual,,fwd,mid-size,,white,https://images.craigslist.org/00Q0Q_8X2UyPVrVqs_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/lac/cto/d/los-angeles-2014-toyota-corolla-plus/7234554874.html,ca,los angeles,2014,toyota,corolla s plus,8100,excellent,4 cylinders,gas,89074,salvage,automatic,5YFBURHE8EP078685,fwd,full-size,sedan,grey,https://images.craigslist.org/00W0W_ehQ7RpSLlGT_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/wst/cto/d/los-angeles-2006-jeep-liberty-4wd-128k/7234554791.html,ca,los angeles,2006,jeep,liberty,4000,,6 cylinders,gas,128300,clean,automatic,1J4GK38K96W173189,4wd,mid-size,SUV,,https://images.craigslist.org/00w0w_bd3YT2iyxYZ_0ak07K_600x450.jpg
https://losangeles.craigslist.org/lac/ctd/d/downey-2014-honda-odyssey-ex/7234554759.html,ca,los angeles,2014,honda,odyssey ex-l,14989,,,gas,,clean,automatic,,fwd,,van,grey,https://images.craigslist.org/00P0P_axh5zcuVw4I_0cU09G_600x450.jpg
https://losangeles.craigslist.org/lac/cto/d/santa-ana-nissan-versa-sv-2019/7234554754.html,ca,los angeles,2019,nissan,versa,9300,,,gas,,clean,automatic,,,,,,https://images.craigslist.org/00P0P_hYtmDRFYvNe_0CI0lM_600x450.jpg
https://losangeles.craigslist.org/sgv/cto/d/duarte-1956-chevy-belair/7234554662.html,ca,los angeles,1956,chevrolet,belair,16500,,,other,,clean,manual,,,,,,https://images.craigslist.org/01616_eGaddDROBAQ_09G07g_600x450.jpg
https://losangeles.craigslist.org/lac/cto/d/westminster-2007-honda-crv-lx-mi-24l/7234554497.html,ca,los angeles,2007,honda,crv,7600,good,4 cylinders,gas,132123,clean,automatic,,fwd,full-size,SUV,silver,https://images.craigslist.org/01515_hTQnFFJPxHH_0jm0ew_600x450.jpg
https://losangeles.craigslist.org/sfv/ctd/d/valencia-2014-toyota-prius-four-fully/7234554364.html,ca,los angeles,2014,toyota,prius,8699,good,4 cylinders,hybrid,137000,clean,automatic,JTDKN3DU7E0377313,fwd,compact,hatchback,grey,https://images.craigslist.org/00H0H_4ZVfM1eFX3n_0jm0ew_600x450.jpg
https://losangeles.craigslist.org/lac/cto/d/norco-2010-honda-civic-hybrid-sedan-sale/7234553945.html,ca,los angeles,2010,honda,civic hybrid,4500,excellent,4 cylinders,hybrid,160000,clean,automatic,,fwd,mid-size,sedan,blue,https://images.craigslist.org/00505_ePTarZvdqWE_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/lac/ctd/d/downey-2013-ford-edge-sel/7234553842.html,ca,los angeles,2013,ford,edge sel,13989,,,gas,,clean,automatic,,fwd,,SUV,white,https://images.craigslist.org/00t0t_kJLEtUachsm_0cU09G_600x450.jpg
https://losangeles.craigslist.org/lac/cto/d/compton-2012-nissan-quest-automatic/7234553589.html,ca,los angeles,2012,nissan,quest sv,6900,salvage,6 cylinders,gas,160000,salvage,automatic,,fwd,mid-size,van,white,https://images.craigslist.org/01515_3uZEEzTANIr_0CI0ik_600x450.jpg
https://losangeles.craigslist.org/sfv/ctd/d/van-nuys-2003-ford-ranger-super-low/7234553120.html,ca,los angeles,2003,ford,ranger,5999,,,gas,63500,clean,automatic,,,,,,https://images.craigslist.org/00G0G_aillWeoEA4J_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/lac/ctd/d/downey-2014-jeep-wrangler-unlimited/7234552944.html,ca,los angeles,2014,jeep,wrangler unlimited sport,24989,,,gas,,clean,automatic,,4wd,,SUV,orange,https://images.craigslist.org/00B0B_hNKIM17LvOI_0cU09G_600x450.jpg
https://losangeles.craigslist.org/sfv/ctd/d/winnetka-2015-dodge-challenger-sxt-plus/7234552731.html,ca,los angeles,2015,dodge,challenger,18999,excellent,6 cylinders,gas,68000,clean,automatic,2C3CDZBG5FH700234,rwd,full-size,coupe,white,https://images.craigslist.org/00m0m_jWDdsiScE37_0cU09G_600x450.jpg
https://losangeles.craigslist.org/lac/ctd/d/bellflower-2017-hyundai-sonata-plug-in/7234552572.html,ca,los angeles,2017,hyundai,sonata plug-in hybrid l,234,,4 cylinders,hybrid,43876,clean,automatic,KMHE54L21HA064268,fwd,,sedan,,https://images.craigslist.org/00B0B_etVwdSdDtce_0ak07K_600x450.jpg
https://losangeles.craigslist.org/lac/ctd/d/downey-2013-jeep-wrangler-unlimited/7234552111.html,ca,los angeles,2013,jeep,wrangler unlimited sport,24989,,,gas,,clean,automatic,,4wd,,SUV,green,https://images.craigslist.org/00l0l_haLdZMSr1EJ_0cU09G_600x450.jpg
https://losangeles.craigslist.org/sfv/ctd/d/winnetka-2010-jeep-grand-cherokee/7234552069.html,ca,los angeles,2010,jeep,grand cherokee limited,8499,excellent,6 cylinders,gas,143000,clean,automatic,1J4PR5GK5AC111713,4wd,mid-size,SUV,silver,https://images.craigslist.org/00N0N_iBlOIJRrzwm_0cU09G_600x450.jpg
https://losangeles.craigslist.org/sfv/cto/d/van-nuys-2009-audi-a4-quattro-20t/7234551889.html,ca,los angeles,2009,audi,a4 2.0t quattro,8500,excellent,4 cylinders,gas,100000,clean,automatic,,4wd,compact,sedan,black,https://images.craigslist.org/01010_2Y7Ju5NAtUY_0fC0bG_600x450.jpg
https://losangeles.craigslist.org/sfv/cto/d/winnetka-2015-honda-civic-very-clean/7234551740.html,ca,los angeles,2015,honda,civic lx,9999,excellent,4 cylinders,gas,105000,clean,automatic,2HGFB2F54FH521716,fwd,mid-size,sedan,black,https://images.craigslist.org/00000_5jj1i9pEAaI_0i90dP_600x450.jpg
https://losangeles.craigslist.org/wst/cto/d/santa-monica-2004-mercedes-benz-c240/7234551613.html,ca,los angeles,2004,mercedes-benz,benz c240,5000,good,6 cylinders,gas,154620,clean,automatic,WDBRF61J54A621443,,full-size,,silver,https://images.craigslist.org/00h0h_cr1hOjbSCF8_0CI0t2_600x450.jpg
https://losangeles.craigslist.org/lac/ctd/d/downey-2013-jeep-wrangler-unlimited/7234551471.html,ca,los angeles,2013,jeep,wrangler unlimited sport,22989,,,gas,,clean,automatic,,4wd,,SUV,orange,https://images.craigslist.org/00M0M_8gEQgRIoNBJ_0cU09G_600x450.jpg
https://losangeles.craigslist.org/lgb/ctd/d/orange-2015-kia-optima-lx-4dr-sedan/7234551006.html,ca,los angeles,2015,kia,optima,13995,,,gas,69620,clean,automatic,5XXGM4A75FG463782,,,other,white,https://images.craigslist.org/00z0z_aN2b4XBZJi2_0jm0ew_600x450.jpg
https://losangeles.craigslist.org/lac/cto/d/bakersfield-2016-dodge-ram-1500/7234550983.html,ca,los angeles,2016,ram,1500 ecodiesel,25800,,,diesel,,clean,automatic,,,,,,https://images.craigslist.org/01414_kqhNqqj4eqQ_0gl0t2_600x450.jpg
https://losangeles.craigslist.org/sfv/cto/d/winnetka-2015-honda-civic-very-clean/7234550543.html,ca,los angeles,2015,honda,civic lx,9999,excellent,4 cylinders,gas,105000,clean,automatic,2HGFB2F54FH521716,fwd,mid-size,sedan,black,https://images.craigslist.org/00000_5jj1i9pEAaI_0i90dP_600x450.jpg
https://losangeles.craigslist.org/sfv/ctd/d/winnetka-2012-bmw-328i-series-door-sedan/7234550330.html,ca,los angeles,2012,bmw,328i,10995,excellent,4 cylinders,gas,83000,clean,automatic,WBA3C1C52CF432668,rwd,full-size,sedan,white,https://images.craigslist.org/00W0W_fsvo1T7qY62_0cU09F_600x450.jpg
https://losangeles.craigslist.org/lac/ctd/d/downey-2012-jeep-wrangler-unlimited/7234550198.html,ca,los angeles,2012,jeep,wrangler unlimited sport,24989,,,gas,,clean,automatic,,4wd,,SUV,,https://images.craigslist.org/00303_9G1GYaC6I8S_0cU09G_600x450.jpg
https://losangeles.craigslist.org/sfv/ctd/d/van-nuys-2000-ford-ranger/7234550117.html,ca,los angeles,2000,ford,ranger,5999,,,gas,112000,clean,automatic,,,,,,https://images.craigslist.org/00n0n_i0RLuT6VTlR_0CI0t2_600x450.jpg
