region,year,manufacturer,model,price,mileage,transmission
los angeles,2017,toyota,camry,13399,46122,automatic
los angeles,2019,toyota,tacoma,31999,12149,automatic
los angeles,1994,toyota,pickup,4800,245000,automatic
los angeles,2012,audi,a3 2.0 tdi premium wagon 4d,12990,83410,automatic
los angeles,2018,jeep,wrangler unlimited all new,32990,19095,other
los angeles,2006,bmw,325i,5100,235000,automatic
los angeles,2013,lexus,es 300h,14000,60000,automatic
los angeles,2014,chevrolet,silverado 1500 crew,29990,30778,automatic
los angeles,2016,ford,expedition limited sport,30990,69156,automatic
new york city,2007,jeep,compass,3500,97,automatic
new york city,2006,honda,pilot,1600,172000,automatic
new york city,2014,ford,explorer,23999,37832,automatic
los angeles,2002,ford,expedition eddie bauer,3499,114000,automatic
los angeles,1998,bmw,528i,3500,200000,manual
new york city,2013,ford,f150 xl,5500,130000,automatic
los angeles,2018,chevrolet,colorado crew cab work,28590,32485,other
los angeles,2018,fiat,500 abarth hatchback 2d,19990,19059,other
los angeles,2014,lexus,gs 350 sedan 4d,22990,51788,automatic
los angeles,2015,chevrolet,spark ev 2lt hatchback,9990,41671,other
los angeles,2014,rover,range sport hse,32990,74166,automatic
los angeles,2016,chevrolet,tahoe lt sport utility,36990,47989,automatic
los angeles,2014,toyota,fj cruiser sport utility,38990,42531,other
los angeles,2017,tesla,model x 75d sport utility,55990,174,other
los angeles,2019,nissan,frontier crew cab sv,28990,10537,other
los angeles,2018,mercedes-benz,cla,25494,32799,automatic
los angeles,2006,toyota,corolla,5334,111103,automatic
los angeles,2014,lexus,is 250 sedan 4d,23990,35651,other
new york city,2010,toyota,prius,4000,185000,automatic
new york city,2016,toyota,prius+c,15995,25736,automatic
los angeles,2017,gmc,acadia,18999,47809,automatic
los angeles,2012,chrysler,200,6249,96827,automatic
los angeles,2005,toyota,camry,5481,202467,automatic
new york city,2014,hyundai,sonata gls sedan 4d,12990,43577,automatic
new york city,2011,bmw,335ix,9950,99989,automatic
los angeles,2017,ford,fusion hybrid,11998,74078,automatic
new york city,2013,nissan,370z coupe 2d,22990,10019,automatic
new york city,2013,bmw,3 series 335i sedan 4d,22590,58525,other
new york city,2020,kia,telluride ex sport utility,43990,9749,automatic
new york city,2014,honda,accord,12900,58000,automatic
new york city,2016,mazda,mx-5 miata club,20990,26359,other
new york city,2019,nissan,frontier crew cab sv,28990,10537,other
new york city,2013,volkswagen,beetle 2.5l,17990,39823,automatic
los angeles,2017,toyota,mirai,11600,23148,automatic
los angeles,2017,toyota,mirai,11600,21840,automatic
los angeles,2012,lexus,is 250,13995,99995,automatic
los angeles,2016,toyota,avalon hybrid,23000,25603,automatic
los angeles,2017,toyota,highlander,24000,34506,automatic
los angeles,2017,ford,explorer,24349,60016,automatic
new york city,2009,ford,f-450,1,58865,automatic
los angeles,2018,infiniti,q50,24991,32160,automatic
los angeles,2017,lexus,es 350,26600,29659,automatic
new york city,2018,subaru,crosstrek,21500,33475,automatic
new york city,2014,rover,evoque,19995,80906,automatic
los angeles,2017,bmw,4 series,28000,45709,automatic
new york city,2019,chrysler,pacifica touring l,12000,10883,automatic
new york city,2006,gmc,sierra 2500hd lt 4x4,8900,159079,automatic
los angeles,2018,mercedes-benz,cla,23495,31786,automatic
los angeles,2017,lexus,rx 350,30000,58089,automatic
new york city,2006,volvo,xc70 awd,6400,100523,automatic
new york city,2010,subaru,forester 2.5i premium awd,5800,125092,manual
los angeles,2018,mercedes-benz,c-class,24995,38948,automatic
new york city,2013,hyundai,elantra gls,11000,26145,automatic
new york city,2004,subaru,outback 2.5i limited awd,9400,33570,automatic
new york city,2008,nissan,rogue sl,4500,107474,automatic
new york city,2014,subaru,xv crosstrek 2.0i premium,11600,100471,automatic
new york city,2014,toyota,prius c hybrid one,5900,110000,automatic
new york city,2003,mazda,mpv van,2499,160000,automatic
new york city,2014,mercedes-benz,benz ml350 4matic awd,15900,100405,automatic
new york city,2005,subaru,forester 2.5x awd,3600,167691,manual
