state,city,year,manufacturer,model,price,mileage,cylinders,drive,fuel,transmission,url,image_url
ca,los angeles,2001,lexus,ls 430,4500,120000,8 cylinders,rwd,gas,automatic,https://losangeles.craigslist.org/sgv/cto/d/walnut-2001-lexus-ls430-need-it-go/7234535054.html,https://images.craigslist.org/00707_e6sRIVBcNX_0ww0oo_600x450.jpg
ca,los angeles,2012,nissan,altima,5900,107000,4 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/wst/cto/d/fullerton-2012-nissan-altima-25s/7234534803.html,https://images.craigslist.org/00q0q_X7g6GCoJLS_0fu08I_600x450.jpg
ca,los angeles,2005,ford,mustang,4700,62000,6 cylinders,rwd,gas,manual,https://losangeles.craigslist.org/lac/cto/d/los-angeles-2005-ford-mustang-v6-black/7234534611.html,https://images.craigslist.org/00e0e_lzE0B4TUlPe_0CI0mJ_600x450.jpg
ca,los angeles,2017,honda,civic coupe ex-t,17000,21829,4 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/lac/ctd/d/bellflower-2017-honda-civic-coupe-ex/7234534023.html,https://images.craigslist.org/01717_bWgrFP2SaWV_0ag07K_600x450.jpg
ca,los angeles,2015,volkswagen,jetta,5900,132000,4 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/lac/cto/d/fullerton-2015-volkswagen-jetta/7234533221.html,https://images.craigslist.org/00g0g_1MLwcbRNAIa_0fu0bC_600x450.jpg
ca,los angeles,2008,toyota,tundra,20000,121000,8 cylinders,rwd,gas,automatic,https://losangeles.craigslist.org/sfv/cto/d/la-crescenta-2008-toyota-tundra/7234532479.html,https://images.craigslist.org/00n0n_7rXd0Z9qHIZ_0CI0t2_600x450.jpg
ca,los angeles,2010,toyota,prius,5200,170000,4 cylinders,fwd,hybrid,automatic,https://losangeles.craigslist.org/lgb/cto/d/fullerton-2010-toyota-prius/7234531662.html,https://images.craigslist.org/00x0x_gNKs9Gfc28F_0fu0bC_600x450.jpg
ca,los angeles,2016,nissan,rogue sv,8900,118000,4 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/lgb/cto/d/fullerton-2016-nissan-rogue-sv/7234530817.html,https://images.craigslist.org/00y0y_h831EbQqz97_0fu0bC_600x450.jpg
ca,los angeles,2018,mercedes-benz,cla 250,24499,29500,4 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/sfv/cto/d/glendale-mercedes-cla-low-miles/7234529716.html,https://images.craigslist.org/00T0T_6ZajtyCpGNN_0CI0t2_600x450.jpg
ca,los angeles,2015,ford,focus se hatchback,5950,70000,4 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/lgb/cto/d/long-beach-2015-ford-focus-hatchback-se/7234529593.html,https://images.craigslist.org/00R0R_4Wv4V8r9t63_0CI0t2_600x450.jpg
ca,los angeles,2006,mazda,6,1850,205,4 cylinders,fwd,gas,automatic,https://losangeles.craigslist.org/lac/cto/d/pasadena-mazda-62006/7234528735.html,https://images.craigslist.org/00a0a_1Bo8y3WsFtg_0lM0t2_600x450.jpg
ca,los angeles,1999,mercedes-benz,benz e300,7500,126500,6 cylinders,rwd,gas,automatic,https://losangeles.craigslist.org/sfv/cto/d/valencia-1999-mercedes-e300-must-see/7234526875.html,https://images.craigslist.org/00x0x_ljGcU9aJEZg_0CI0t2_600x450.jpg
ca,los angeles,2012,mitsubishi,fuso,35000,174000,4 cylinders,rwd,diesel,automatic,https://losangeles.craigslist.org/lac/cto/d/los-angeles-2012-mitsubishi-fuso-tow/7234525651.html,https://images.craigslist.org/00303_48KsKvAoQ9z_0hq0cx_600x450.jpg
ca,los angeles,2002,mercedes-benz,benz g500,32000,165000,8 cylinders,4wd,gas,automatic,https://losangeles.craigslist.org/wst/cto/d/modesto-2002-mercedes-g500-wagon-clean/7234524987.html,https://images.craigslist.org/00808_l74mcnYm6Tq_0CI0t2_600x450.jpg
