,year,make,model,sub_model,city,state,mileage,price,exterior_color,interior_color,mpg_city,mpg_hwy,engine,transmission,drive_type,fuel_type,popular_feature,vehicle_history,cpo
24,2019,Dodge,"['Grand', 'Caravan']",SXT,Longview,WA,"32,040","$15,250",Granite Pearlcoat,Black,17,25,3.6L V-6 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Premium Seat Material', 'Third Row Seating', 'Backup Camera', 'Power Trunk/Liftgate', 'Front Heated Seats', 'Remote Engine Start', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
25,2020,Jeep,['Wrangler'],Unlimited Sahara High Altitude,Roswell,GA,"10,834","$41,445",White,Black,21,22,2.0L V-4 Gas Turbocharged,Automatic,4WD,Gas,[],"['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
26,2020,Toyota,['Corolla'],LE CVT,Henderson,NV,"17,802","$14,997",Black Sand Pearl,Black,30,38,1.8L Inline-4 Gas,Automatic,FWD,Gas,"['Adaptive Cruise Control', 'Backup Camera', 'Lane Keep Assist', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
27,2020,Jeep,['Wrangler'],Unlimited Sahara High Altitude,Mitchell,SD,"15,860","$40,993",Black Clearcoat,Black,21,22,2.0L V-4 Gas Turbocharged,Automatic,4WD,Gas,[],"['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
28,2020,Nissan,['Pathfinder'],FWD SV,Oakbrook,IL,"32,495","$19,697",Glacier White,Charcoal,20,27,3.5L V-6 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Remote Engine Start', 'Adaptive Cruise Control', 'Backup Camera', 'Bluetooth', 'Third Row Seating', 'Multi-Zone Climate Control', 'Blind Spot System', 'Parking Sensors']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
29,2015,Nissan,['Altima'],2.5 S,Chantilly,VA,"91,852","$6,995",Gun Metallic,Charcoal,27,38,2.5L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '2']",False
30,2020,Toyota,['Corolla'],LE CVT,San Antonio,TX,"21,801","$13,989",Black Sand Pearl,Black,30,38,1.8L Inline-4 Gas,Automatic,FWD,Gas,"['Adaptive Cruise Control', 'Backup Camera', 'Lane Keep Assist', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
31,2019,Nissan,['Sentra'],SV CVT,Phoenix,AZ,"28,500","$11,500",Brilliant Silver,Charcoal,29,37,1.8L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Backup Camera', 'Multi-Zone Climate Control', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
32,2020,Nissan,['Pathfinder'],FWD SV,Murray,UT,"32,038","$19,797",Brilliant Silver Metallic,Charcoal,20,27,3.5L V-6 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Remote Engine Start', 'Adaptive Cruise Control', 'Backup Camera', 'Bluetooth', 'Third Row Seating', 'Multi-Zone Climate Control', 'Blind Spot System', 'Parking Sensors']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
33,2020,Kia,['Optima'],LX Automatic,Chesapeake,VA,"33,687","$14,297",Snow White Pearl,Black,24,32,2.4L Inline-4 Gas,Automatic,FWD,Gas,"['Premium Wheels', 'Lane Keep Assist', 'Parking Sensors', 'Blind Spot System', 'Backup Camera', 'Bluetooth']","['0 reported accidents', 'Personal or Rental Use', 'Clean', '1']",False
