state,year,manufacturer,model,price,mileage,transmission
CA,2018,Lexus,RX,30990,48873,Automatic
CA,2013,Honda,Civic,12590,32711,Automatic
CA,2017,Nissan,Altima,13988,58715,Automatic
CA,2012,Jaguar,XK,24590,87032,Automatic
CA,2014,Honda,Accord,12990,97769,Automatic
CA,2019,Nissan,Sentra,14096,35795,Automatic
CA,2017,Lexus,RX,31990,38119,Automatic
CA,2020,Chevrolet,Malibu,17795,4100,Automatic
CA,2017,Honda,CRV,21818,17953,Automatic
CA,2018,Mercedes-Benz,EClass,45160,7345,Automatic
CA,2020,Subaru,Forester,26000,3495,Automatic
CA,2013,BMW,3Series,12995,79509,Automatic
CA,2016,Kia,Forte,10299,33568,Automatic
CA,2016,Volvo,XC90,21995,96496,Automatic
CA,2018,Porsche,Macan,44994,22612,Automatic
CA,2017,Honda,Civic,14000,51919,Automatic
CA,2017,MINI,Hardtop,16494,44801,Automatic
CA,2017,BMW,6Series,36999,62919,Automatic
CA,2017,Honda,Civic,14994,28246,Automatic
CA,2018,Porsche,Macan,39995,20954,Automatic
CA,2016,Nissan,Rogue,15990,45208,Automatic
CA,2017,Land,RoverRangeRoverEvoque,29565,25445,Automatic
CA,2019,Ram,1500Classic,30494,17643,Automatic
CA,2016,Scion,iM,10499,80969,Automatic
CA,2017,Lexus,NX,27990,8433,Automatic
CA,2017,Mercedes-Benz,CClass,23579,40163,Automatic
CA,2017,Mercedes-Benz,GLS,52995,28331,Automatic
CA,2015,BMW,4Series,20590,56241,Automatic
CA,2017,Mercedes-Benz,CClass,20385,63346,Automatic
CA,2016,Mercedes-Benz,CLA,22999,28702,Automatic
CA,2004,Land,RoverRangeRover,5499,176276,Automatic
CA,2014,Toyota,Camry,12990,62689,Automatic
CA,2016,Toyota,Corolla,13467,57149,Automatic
CA,2002,Honda,Odyssey,2499,177800,Automatic
CA,2011,BMW,5Series,16590,77460,Automatic
CA,2012,Ford,Edge,11990,77673,Automatic
CA,2012,Toyota,Camry,13990,47885,Automatic
CA,2014,Toyota,4Runner,28990,61938,Automatic
CA,2007,Mercedes-Benz,CLS,13995,88389,Automatic
CA,2012,Honda,Accord,10990,78332,Automatic
CA,2013,Mercedes-Benz,CClass,14590,74014,Automatic
CA,2017,Nissan,Murano,21900,14083,Automatic
CA,2015,Lexus,RX,20990,74000,Automatic
CA,2014,Mercedes-Benz,CClass,14590,102064,Automatic
CA,2013,Honda,Civic,12990,48966,Automatic
CA,2018,Mercedes-Benz,CClass,29755,9617,Automatic
CA,2014,Acura,MDX,20990,71185,Automatic
CA,2013,Mercedes-Benz,CClass,14590,81023,Automatic
CA,2012,Lincoln,MKS,10990,93316,Automatic
CA,2015,Lexus,GS,24990,37367,Automatic
CA,2015,Chevrolet,Silverado1500,22995,112078,Automatic
CA,2018,Chevrolet,Cruze,9995,67836,Automatic
CA,2014,Lincoln,MKZ,15590,44163,Automatic
CA,2014,Toyota,FJCruiser,32990,68626,Automatic
CA,2015,Nissan,Sentra,9129,98072,Automatic
CA,2011,BMW,X5,17990,44745,Automatic
CA,2015,Lexus,LS,35990,43862,Automatic
CA,2017,Kia,Rio,7400,75665,Automatic
CA,2011,Chevrolet,Camaro,15990,67364,Automatic
CA,2018,GMC,Terrain,17994,25424,Automatic
