state,year,manufacturer,model,price,mileage,transmission,url,img
NY,2018,Jeep,GrandCherokee,26480,19665,Automatic,https://www.truecar.com/used-cars-for-sale/listing/1C4RJFAG6JC356505/2018-jeep-grand-cherokee/?zipcode=10035,https://listings-prod.tcimg.net/listings/172632/05/65/1C4RJFAG6JC356505/MTFCC2WFB75FRI52MMKPLUTDF4-cr-360.jpg
NY,2014,Nissan,Pathfinder,15990,80845,Automatic,https://www.truecar.com/used-cars-for-sale/listing/5N1AR2MN9EC692904/2014-nissan-pathfinder/?zipcode=11372,https://listings-prod.tcimg.net/listings/175576/04/29/5N1AR2MN9EC692904/6VX3D4QCMZDIUDZUNNM2UFP25E-cr-360.jpg
NY,2019,Toyota,Corolla,14730,33887,Automatic,https://www.truecar.com/used-cars-for-sale/listing/2T1BURHE9KC220747/2019-toyota-corolla/?sponsoredVehiclePosition=2,https://listings-prod.tcimg.net/listings/16700/47/07/2T1BURHE9KC220747/N6C5KXOFYACZ5FR7C3AQB3UT2M-cr-360.jpg
NJ,2019,Dodge,Journey,17497,31627,Automatic,https://www.truecar.com/used-cars-for-sale/listing/3C4PDDEG2KT774594/2019-dodge-journey/,https://listings-prod.tcimg.net/listings/83522/94/45/3C4PDDEG2KT774594/7D66G7DRK2CUSKQOAIVNKVULZQ-cr-360.jpg
NY,2019,Mercedes-Benz,MetrisPassengerVan,29995,6417,Automatic,https://www.truecar.com/used-cars-for-sale/listing/WD4PG2EE8K3565629/2019-mercedes-benz-metris-passenger-van/,https://listings-prod.tcimg.net/listings/171212/29/56/WD4PG2EE8K3565629/AN6OI3D4WRWL2FJRMUKOJVZIFM-cr-360.jpg
NY,2019,Nissan,Altima,14795,45430,Automatic,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4EV7KC236342/2019-nissan-altima/,https://listings-prod.tcimg.net/listings/192071/42/63/1N4BL4EV7KC236342/EYFAGVOXXIBKGT46JX66T7RFY4-cr-360.jpg
NY,2019,Nissan,Sentra,10999,20870,Automatic,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP3KY255935/2019-nissan-sentra/,https://listings-prod.tcimg.net/listings/113179/35/59/3N1AB7AP3KY255935/6BDCLINVSSLA7JY3KUIK5QRJ3E-cr-360.jpg
NJ,2019,Dodge,Journey,17097,38662,Automatic,https://www.truecar.com/used-cars-for-sale/listing/3C4PDDEGXKT738653/2019-dodge-journey/,https://listings-prod.tcimg.net/listings/83522/53/86/3C4PDDEGXKT738653/4Z76GPIXY37IHARPTYA7546XV4-cr-360.jpg
NJ,2020,Toyota,Corolla,14197,33463,Automatic,https://www.truecar.com/used-cars-for-sale/listing/5YFEPRAEXLP030133/2020-toyota-corolla/,https://listings-prod.tcimg.net/listings/83522/33/01/5YFEPRAEXLP030133/LISOFPH3NXKX4KU3XZE6A6BXC4-cr-360.jpg
NY,2017,Nissan,Rogue,12399,51879,Automatic,https://www.truecar.com/used-cars-for-sale/listing/KNMAT2MV6HP531106/2017-nissan-rogue/,https://listings-prod.tcimg.net/listings/192071/06/11/KNMAT2MV6HP531106/XCPK7XWRTMQU6WLMHHQ2MRRYZA-cr-360.jpg
NY,2013,Nissan,Altima,6499,84019,Automatic,https://www.truecar.com/used-cars-for-sale/listing/1N4AL3AP0DN473551/2013-nissan-altima/,https://listings-prod.tcimg.net/listings/113179/51/35/1N4AL3AP0DN473551/ZB2UPYI5CB7BVSQN7AGTZDDKTE-cr-360.jpg
NY,2018,Mercedes-Benz,CClass,32901,16424,Automatic,https://www.truecar.com/used-cars-for-sale/listing/WDDWF4KB6JR355174/2018-mercedes-benz-c-class/,https://listings-prod.tcimg.net/listings/2441/74/51/WDDWF4KB6JR355174/T5AHWQ3NDWSYR6YRC52PWD3NDE-cr-360.jpg
NJ,2020,Toyota,Corolla,14197,34160,Automatic,https://www.truecar.com/used-cars-for-sale/listing/5YFEPRAE9LP021634/2020-toyota-corolla/,https://listings-prod.tcimg.net/listings/83522/34/16/5YFEPRAE9LP021634/SL3SF6PC77DBV6XU2HWND6WWSE-cr-360.jpg
