state,year,manufacturer,model,price,mileage,drive_type,transmission,fuel,url,img
NY,2013,Nissan,Altima,6499,84019,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/1N4AL3AP0DN473551/2013-nissan-altima/,https://listings-prod.tcimg.net/listings/113179/51/35/1N4AL3AP0DN473551/ZB2UPYI5CB7BVSQN7AGTZDDKTE-cr-360.jpg
NJ,2019,Nissan,Sentra,11997,38580,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7APXKL625243/2019-nissan-sentra/,https://listings-prod.tcimg.net/listings/83522/43/52/3N1AB7APXKL625243/BTRDPLCATP5TH5NKBKNWZ75KMY-cr-360.jpg
NJ,2013,Acura,TSX,9995,101699,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/JH4CU2F63DC013286/2013-acura-tsx/,https://listings-prod.tcimg.net/listings/22960/86/32/JH4CU2F63DC013286/3QHD7WFRA3NGCBW5YDPZ2JJRBE-cr-360.jpg
NY,2013,Honda,Accord,8999,107950,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/1HGCR2F84DA060053/2013-honda-accord/,https://listings-prod.tcimg.net/listings/113179/53/00/1HGCR2F84DA060053/2U2AYSA6FB5GL4T4FKMB2GDN4I-cr-360.jpg
NY,2015,Nissan,Altima,9995,58062,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/1N4AL3AP1FC475405/2015-nissan-altima/,https://listings-prod.tcimg.net/listings/47352/05/54/1N4AL3AP1FC475405/XDEELX2WL7N2FZ26X6SSAOCX6I-cr-360.jpg
NY,2017,Nissan,Sentra,10870,28154,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP5HY234609/2017-nissan-sentra/,https://listings-prod.tcimg.net/listings/192071/09/46/3N1AB7AP5HY234609/2CXWJQ7USWCPMWUI7XL7CVE2QI-cr-360.jpg
NJ,2020,Toyota,Corolla,14197,33463,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/5YFEPRAEXLP030133/2020-toyota-corolla/,https://listings-prod.tcimg.net/listings/83522/33/01/5YFEPRAEXLP030133/LISOFPH3NXKX4KU3XZE6A6BXC4-cr-360.jpg
NY,2019,Dodge,Charger,18695,40192,RWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/2C3CDXHG9KH678096/2019-dodge-charger/,https://listings-prod.tcimg.net/listings/143272/96/80/2C3CDXHG9KH678096/MZVKTJYRQFCCRNZ26KTZMOYFJY-cr-360.jpg
NJ,2020,GMC,Terrain,22897,24797,AWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/3GKALVEV0LL103475/2020-gmc-terrain/,https://listings-prod.tcimg.net/listings/83522/75/34/3GKALVEV0LL103475/4CP6ZJOSKCEK5CQUR5Q2ALYN2Q-cr-360.jpg
NY,2017,Honda,Civic,11999,103176,FWD,Automatic,Gas,https://www.truecar.com/used-cars-for-sale/listing/19XFC1F96HE203992/2017-honda-civic/,https://listings-prod.tcimg.net/listings/113179/92/39/19XFC1F96HE203992/M4ZGRNPKIKD6NM6JUL3JYNWVQI-cr-360.jpg
